2020-03-20 20:18:57,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,08 -00 -27 -DC -13 -0C ,192.168.0.7,89
2020-03-20 20:18:57,08 -00 -27 -DC -13 -0C ,192.168.0.7,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,75
2020-03-20 20:18:57,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,08 -00 -27 -DC -13 -0C ,192.168.0.7,131
2020-03-20 20:18:58,08 -00 -27 -DC -13 -0C ,192.168.0.7,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,73
2020-03-20 20:18:58,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,08 -00 -27 -DC -13 -0C ,192.168.0.7,89
2020-03-20 20:18:59,08 -00 -27 -DC -13 -0C ,192.168.0.7,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,94
2020-03-20 20:18:59,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,08 -00 -27 -DC -13 -0C ,192.168.0.7,200
2020-03-20 20:19:01,08 -00 -27 -DC -13 -0C ,192.168.0.7,FF -FF -FF -FF -FF -FF ,192.168.0.255,92
2020-03-20 20:19:01,08 -00 -27 -DC -13 -0C ,192.168.0.7,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,88
2020-03-20 20:19:01,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,08 -00 -27 -DC -13 -0C ,192.168.0.7,280
2020-03-20 20:19:02,08 -00 -27 -DC -13 -0C ,192.168.0.7,FF -FF -FF -FF -FF -FF ,192.168.0.255,92
2020-03-20 20:19:02,08 -00 -27 -DC -13 -0C ,192.168.0.7,FF -FF -FF -FF -FF -FF ,192.168.0.255,92
2020-03-20 20:19:03,08 -00 -27 -DC -13 -0C ,192.168.0.7,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,82
2020-03-20 20:19:03,3C -E5 -A6 -01 -69 -42 ,192.168.1.1,08 -00 -27 -DC -13 -0C ,192.168.0.7,175
2020-03-20 20:19:07,08 -00 -27 -DC -13 -0C ,192.168.0.7,FF -FF -FF -FF -FF -FF ,192.168.0.255,92
2020-03-20 20:19:08,08 -00 -27 -DC -13 -0C ,192.168.0.7,FF -FF -FF -FF -FF -FF ,192.168.0.255,92
